datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-07-27,7,10,"""Overall it was pretty good""",Bill Green,"Not Verified |   There was no problems, everything was good except a 30 minute delay. The seat was ok the, legroom was decent, but the cabin was a little dirty. The crew was nice. Overall it was pretty good.",yes,"{'Aircraft': 'E175', 'Type Of Traveller': 'Family Leisure', 'Seat Type': 'Economy Class', 'Route': 'Los Angeles to Houston', 'Date Flown': 'March 2024', 'Seat Comfort': 3, 'Cabin Staff Service': 4, 'Ground Service': 1, 'Value For Money': 4, 'Recommended': 'yes'}"
2023-08-17,6,10,"""The delay is just crazy""",Ilham Ramadhan,"Not Verified |  The delay is just crazy! The first thing related to Heavy rain and little storm, its still reasonable for the delay at that time for around 1.5 hrs. And then, they allows us to boarding and waits for 45 minutes in the airplane after the door closed. Next, I think due to queue in the taxy way, we just being round and around the airport for 1 hour. And they decided to back to gates because need to refuel the airplane. Took around 45 minutes, and the passenger allowed to go out to have a quick drink, or to bathroom while refueling. After that due one passenger decided to leave, all the passengers need to leave the airplane and re-boarding again and wait for like 10 minutes again in the terminal. After that, we fly to GSO normally. Well, maybe the story a little bit doesn't make sense, but that's happening",yes,"{'Aircraft': 'Embraer ERJ145', 'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'Economy Class', 'Route': 'Philadelphia to Greensboro', 'Date Flown': 'August 2023', 'Seat Comfort': 3, 'Cabin Staff Service': 4, 'Food & Beverages': 2, 'Ground Service': 3, 'Value For Money': 3, 'Recommended': 'yes'}"
2023-08-07,5,10,"""need to have overflow staff""",E Miller,"✅ Trip Verified |  The first leg of my trip on the American Eagle from Palm Springs, ca to Phoenix, Az flight was on time with no issue, but, my return from Phoenix to Palm Springs, ca, that was supposed to leave at 5:35 pm was continually being updated on the screen and did not leave until after around 9pm.. a little over an hour before we boarded, I visited the American Airlines customer service office next to our boarding location, I was told that American Eagle was not American Airlines etc and she looked on her computer screen and then told me some story about not knowing exactly what the delay was, possibly birds flying into an engine delayed crew members from arriving (but the plane was there and the pilots were already there walking around waiting to board the plane to go to Palm Springs, as well). Anyway, two flight attendants showed up and we were able to board. I asked one of the attendants (who was very helpful and courteous) if she had been flown in to work the flight (I thought what the woman said earlier might have been valid and that the crew that might have been on a plane that dealt with birds flying into the engine, caught a different flight to attend to the plane in Phoenix) but she said there were two no-call no-shows and she and the other attendant were called in to work that flight. Thank goodness those two women showed up or who knows how long it would have taken for us to get out of that airport. I know we cannot blame the entire airline for irresponsible crew members, but there is obviously something going on there. Maybe they need to have overflow staff to assure flights are not delayed due to staff members not showing up.",,"{'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'Economy Class', 'Route': 'Phoenix to Palm Springs', 'Date Flown': 'August 2023', 'Seat Comfort': 4, 'Cabin Staff Service': 5, 'Ground Service': 3, 'Value For Money': 3, 'Recommended': 'no'}"
2023-06-04,10,10,"""Very great experience""",S Galinsky,"✅ Trip Verified |  Very great experience. Will 100% fly again. Comfort was great, loved the free food and snacks. Also crew was very nice and always tried to help me whenever I needed help.",yes,"{'Aircraft': 'E170', 'Type Of Traveller': 'Family Leisure', 'Seat Type': 'First Class', 'Route': 'Chicago to Atlanta', 'Date Flown': 'December 2022', 'Seat Comfort': 5, 'Cabin Staff Service': 5, 'Food & Beverages': 5, 'Inflight Entertainment': 4, 'Ground Service': 4, 'Wifi & Connectivity': 5, 'Value For Money': 4, 'Recommended': 'yes'}"
2023-02-07,1,10,"""learn how to treat passengers""",David Campbell,Not Verified |  Before even getting on the flight the staff was rude and said we have to valet our roller bag and said they don't care if we miss our connecting flight that we have no choice and you have to deal with it. When we get to Charlotte we are instructed to wait on the right hand side of the bridge to get our bags. We do just that. We are then yelled at multiple times to move from the ground crew even though we did exactly what they instructed us to do. Needless to say they need to work on their customer service and learn how to treat passengers.,,"{'Type Of Traveller': 'Couple Leisure', 'Seat Type': 'Economy Class', 'Route': 'Scranton to Charlotte', 'Date Flown': 'February 2023', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Food & Beverages': 4, 'Inflight Entertainment': 1, 'Ground Service': 1, 'Wifi & Connectivity': 3, 'Value For Money': 1, 'Recommended': 'no'}"
2023-01-19,2,10,"""It’s like an expensive bus ride""",R Soto,Not Verified |  Honestly American Airlines has to do much better. These carriers they use for smaller cities are tiny and full to capacity. There’s barely any room to move. Why in the world when I am booking American Airlines am I being assigned this carrier? I think this information should be better disclosed to passengers when they are purchasing their flights. The plane smelt like pee and we were delayed by over 15 minutes without any explanation. It’s like an expensive bus ride to upstate NY without any damn amenities. So long as they continue to utilize this carrier for the the airport I live near to I won’t be booking any flights with with them.,,"{'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'Economy Class', 'Route': 'Philadelphia to Syracuse', 'Date Flown': 'January 2023', 'Seat Comfort': 1, 'Cabin Staff Service': 2, 'Ground Service': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2022-09-16,10,10,"""personable, efficient, and highly competent""",Kyle Reidland,"Not Verified |  I want to strongly recommend the Disabled Persons Services employee, Kevin, who helped transport me across three terminals at LAX this week. He is personable, efficient, and highly competent at his job. We really needed someone like him that morning.",yes,"{'Type Of Traveller': 'Family Leisure', 'Seat Type': 'Economy Class', 'Route': 'El Paso to Los Angeles', 'Date Flown': 'September 2022', 'Seat Comfort': 3, 'Cabin Staff Service': 3, 'Food & Beverages': 3, 'Ground Service': 5, 'Value For Money': 3, 'Recommended': 'yes'}"
2022-05-25,1,10,"""Absolute garbage""",Jonathan Stillwell,"✅ Trip Verified | Absolute garbage. Boarded the plane only to be told to get off, Cancelled our flight and didn’t even inform us, refused to talk to customers at the kiosk, then informs us that they can’t get us to our final destination of San Francisco (one of the larges cities on the West Coast) until 36hrs after we are supposed to arrive. Lost AB&B, lost car reservation with car seat (that they aren’t going refund us for), and now we’re have to make up 2 days of travel hurrying to a wedding in Oregon, losing the time we were gonna spend driving the PCH (which is half of our trip). Please for the love of God choose a different airline.",,"{'Type Of Traveller': 'Family Leisure', 'Seat Type': 'Economy Class', 'Route': 'Knoxville to Charlotte', 'Date Flown': 'May 2022', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Food & Beverages': 1, 'Inflight Entertainment': 1, 'Ground Service': 1, 'Wifi & Connectivity': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2022-04-14,6,10,"""unfortunately not wonderful""",Bob Braunstein,"Not Verified |  Our American Eagle Flight from SRQ to Charlotte (flt. 5521 departing SRQ at 1:30 pm on April 13) was unfortunately not wonderful. The flight attendant for business was curt, draconian in approach, and very stingy with snacks. I have flown this route numerous times and when I have asked for more than one item it was gladly given - .not the case until the entire cabin was served per the statement of this attendant, and even then, when she returned and I watched her stow the leftover snacks and I asked it was given to me with a bit of a frustrated attitude on her part. The other issue is that in prior flights on CRJ 900s, I have always been able to stow a rollaboard, which can be easily stowed above the seats the right side of this aircraft. When I asked this attendant why the policy had changed, she was rather impertinent stating that this had always been the policy by law (i.e. the need to check rollaboards). You can check your records to see how often I have flown this route from either SRQ to Charlotte or DCA and I was always allowed to bring a bag on board. I sense that my question, which was very diplomatically phrased, was not appreciated and led to the rest of our less than satisfactory interaction. I have flown American for years and prior to the pandemic was in Executive Platinum status for many of them. It is discouraging to have had a rude attendant, particularly when we paid to be in business class. It was also interesting to her how soft and welcoming her demeanor became when advertising the credit card and is associated amenities. Please understand that I don't like giving negative information nor do I wish to complain. These are challenging times for the airlines as well as passengers who fly them. But my attitude is always positive and welcoming and I expect no less than those whose service I have procured - and this was clearly substandard.",,"{'Aircraft': 'CRJ900', 'Type Of Traveller': 'Business', 'Seat Type': 'First Class', 'Route': 'Sarasota to Charlotte', 'Date Flown': 'April 2022', 'Seat Comfort': 5, 'Cabin Staff Service': 2, 'Food & Beverages': 1, 'Inflight Entertainment': 2, 'Ground Service': 5, 'Wifi & Connectivity': 2, 'Value For Money': 4, 'Recommended': 'no'}"
2022-03-12,1,10,"""last time I fly this airline""",S Sebastian,"✅ Trip Verified |  Do not fly American Eagle. I flew on flight 6002 March 11,2022 from Montgomery to Charlotte. This was the worst flight ever. Their customer service is ridiculous. We landed in Spartanburg NC for a reason that no one knew. We were held on the plane for 4 hours waiting plus the 5:30am flight which was 50 minutes. The entire flight lost their connection flights and had to suffer the long day at the air port because no one knew how to connect a flight to another flight. We weren’t given any options. Nothing to help us get through. Some customers had medical Conditions that required eating before medication and nothing. As we were waiting the toilets got stuffed up and couldn’t flush any more. The seats we sat in basically had no support in the middle and sagged down the center. It was painful sitting and waiting. All in all this will be the last time I fly this airline.",,"{'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'Economy Class', 'Route': 'Charlotte to Cincinatti', 'Date Flown': 'March 2022', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Food & Beverages': 1, 'Ground Service': 1, 'Value For Money': 1, 'Recommended': 'no'}"
